VVV-ID,OGLE-ID,Period,Class,__Vmag_,__Imag_,__Jmag_,__Hmag_,__Ksmag_,e__Jmag_,e__Hmag_,e__Ksmag_,E_J-Ks_,Simbad,_RA,_DE
515447844032,T2CEP-033,7.034,WVI,16.355,14.164,12.777,12.211,11.772,0.089,0.089,0.089,0.533,Simbad,265.79696,-24.24011
515624641751,T2CEP-034,22.453,RVT,16.298,13.688,12.012,11.829,11.057,0.246,0.246,0.246,0.517,Simbad,265.9285,-34.11811
515448049732,T2CEP-035,1.931,BLH,17.0,15.093,14.133,13.631,13.047,0.126,0.126,0.126,0.435,Simbad,265.93175,-23.94175
515602919258,T2CEP-038,15.198,WVI,16.981,14.146,11.955,11.613,10.97,0.213,0.213,0.213,0.658,Simbad,266.04917,-33.39183
515624654568,T2CEP-039,2.755,BLH,16.889,14.796,13.138,12.552,12.515,0.172,0.172,0.172,0.457,Simbad,266.05367,-34.16192
515624581354,T2CEP-040,1.663,BLH,,15.693,13.418,13.017,12.272,0.042,0.042,0.041,0.464,Simbad,266.05779,-34.29247
515457223374,T2CEP-041,1.089,BLH,17.829,15.905,14.216,13.603,13.364,0.047,0.048,0.046,0.501,Simbad,266.10821,-24.26958
515457304027,T2CEP-045,19.31,RVT,16.518,14.137,12.395,12.043,11.501,0.234,0.234,0.234,0.573,Simbad,266.36567,-24.22181
515457486868,T2CEP-046,14.8,WVI,15.707,13.663,12.214,11.695,11.252,0.217,0.217,0.217,0.434,Simbad,266.427,-23.85022
515457269275,T2CEP-047,4.796,BLH,17.139,14.971,13.318,12.716,12.347,0.123,0.123,0.123,0.706,Simbad,266.44087,-24.34156
515658809813,T2CEP-048,1.523,BLH,16.907,15.491,14.176,13.847,13.624,0.086,0.087,0.086,0.356,Simbad,266.50062,-37.13461
515436514553,T2CEP-050,1.398,BLH,16.883,15.206,14.253,13.756,13.387,0.073,0.073,0.072,0.389,Simbad,266.72937,-23.20489
515436535930,T2CEP-051,1.209,BLH,16.447,14.867,13.454,13.139,13.128,0.088,0.088,0.088,0.389,Simbad,266.73671,-23.168
515633650295,T2CEP-053,12.341,WVI,15.397,13.6,12.204,11.666,11.376,0.107,0.107,0.107,0.365,Simbad,266.77358,-34.62942
515436502201,T2CEP-054,1.284,BLH,16.398,14.8,13.746,13.247,13.086,0.096,0.097,0.096,0.401,Simbad,266.81742,-23.27522
515610842771,T2CEP-055,7.075,WVI,17.467,14.953,12.807,12.199,12.079,0.156,0.156,0.156,0.576,Simbad,266.89729,-33.70692
515642058153,T2CEP-056,21.081,RVT,17.185,15.747,14.779,,13.565,0.016,,0.203,0.301,Simbad,266.90583,-35.51364
515414938499,T2CEP-058,1.051,BLH,17.127,15.532,14.338,13.939,13.764,0.059,0.06,0.059,0.379,Simbad,266.98158,-21.20683
515633682540,T2CEP-059,12.637,WVI,14.217,12.647,11.508,11.539,11.017,0.001,0.002,0.231,0.341,Simbad,267.06379,-34.70578
515610954688,T2CEP-060,1.332,BLH,17.544,15.657,14.501,13.987,13.495,0.117,0.117,0.116,0.471,Simbad,267.09521,-33.637
515611185313,T2CEP-061,1.119,BLH,18.281,16.291,14.386,13.9,13.801,0.06,0.062,0.058,0.515,Simbad,267.10808,-33.28706
515611138355,T2CEP-065,1.035,BLH,18.401,16.129,14.511,13.851,13.493,0.064,0.064,0.062,0.583,Simbad,267.23108,-33.42114
515549799161,T2CEP-066,10.54,WVI,21.594,16.422,12.932,11.76,11.253,0.052,0.052,0.052,1.315,Simbad,267.26996,-30.05553
515437094159,T2CEP-067,1.742,BLH,18.663,16.096,14.023,13.381,13.005,0.101,0.102,0.101,0.62,Simbad,267.28883,-22.35756
515549676096,T2CEP-068,31.559,RVT,20.722,15.673,,11.055,10.479,,0.002,0.172,1.127,Simbad,267.30662,-30.439
515436650140,T2CEP-070,2.936,BLH,17.237,15.521,14.159,13.701,13.389,0.073,0.073,0.072,0.529,Simbad,267.35012,-23.30181
515549935349,T2CEP-071,15.746,WVI,20.635,15.783,13.068,11.717,11.226,0.158,0.158,0.158,1.101,Simbad,267.35671,-29.78167
515549911018,T2CEP-072,1.551,BLH,,16.891,14.4,13.588,13.325,0.121,0.122,0.121,0.998,Simbad,267.37896,-29.8495
515559952621,T2CEP-074,2.31,BLH,19.822,16.601,,,12.425,,,0.118,0.866,Simbad,267.42325,-30.78011
515559115754,T2CEP-075,1.39,BLH,19.354,16.474,14.433,13.817,13.605,0.128,0.129,0.126,0.747,Simbad,267.43867,-30.59425
515436765396,T2CEP-076,1.34,BLH,18.138,15.828,13.854,13.204,12.98,0.103,0.103,0.102,0.558,Simbad,267.44937,-23.13586
515527456214,T2CEP-078,16.715,WVI,,17.723,13.6,12.135,11.415,0.25,0.25,0.25,1.876,Simbad,267.48162,-29.21831
