# OBJECT = ROSS458C		
# RA (J2000): 13:00:41.936		
# DEC (J2000): +12:21:14.72		
# Reference: Manjavacas et al. 2018 ApJ		
# First publication reference: Manjavacas_et_al._2018		
# Additional corrections to original data: Aperture_correction		
# DOI : doi:10.17909/t9-asft-6k38		
# Contact: elenamanjavacas@email.arizona.edu		
# First column: Wavelength (microns)		
# Second column: Flux density (erg/cm2/s/A)		
# Third column: Flux density uncertainty (erg/cm2/s/A)		
1.1	3.24E-17	2.02E-18
1.1011	3.05E-17	1.95E-18
1.10221	2.85E-17	1.89E-18
1.10331	2.66E-17	1.82E-18
1.10441	2.46E-17	1.76E-18
1.10551	2.24E-17	1.70E-18
1.10662	2.05E-17	1.64E-18
1.10772	1.91E-17	1.58E-18
1.10882	1.76E-17	1.53E-18
1.10992	1.59E-17	1.50E-18
1.11103	1.46E-17	1.46E-18
1.11213	1.34E-17	1.43E-18
1.11323	1.24E-17	1.39E-18
1.11433	1.14E-17	1.37E-18
1.11544	1.02E-17	1.35E-18
1.11654	9.12E-18	1.32E-18
1.11764	7.79E-18	1.30E-18
1.11874	7.33E-18	1.29E-18
1.11985	7.02E-18	1.28E-18
1.12095	6.94E-18	1.27E-18
1.12205	6.69E-18	1.26E-18
1.12315	6.74E-18	1.25E-18
1.12426	6.76E-18	1.25E-18
1.12536	6.89E-18	1.24E-18
1.12646	7.02E-18	1.24E-18
1.12756	7.12E-18	1.23E-18
1.12867	6.97E-18	1.23E-18
1.12977	6.75E-18	1.22E-18
1.13087	6.58E-18	1.22E-18
1.13197	6.48E-18	1.21E-18
1.13308	6.39E-18	1.20E-18
1.13418	6.21E-18	1.19E-18
1.13528	5.88E-18	1.18E-18
1.13638	5.76E-18	1.17E-18
1.13749	5.68E-18	1.17E-18
1.13859	5.60E-18	1.16E-18
1.13969	5.50E-18	1.16E-18
1.14079	5.62E-18	1.15E-18
1.1419	5.46E-18	1.15E-18
1.143	5.15E-18	1.14E-18
1.1441	5.00E-18	1.14E-18
1.1452	4.86E-18	1.14E-18
1.14631	4.93E-18	1.13E-18
1.14741	4.72E-18	1.14E-18
1.14851	4.46E-18	1.14E-18
1.14961	4.53E-18	1.14E-18
1.15072	4.35E-18	1.14E-18
1.15182	4.24E-18	1.13E-18
1.15292	4.30E-18	1.13E-18
1.15402	4.26E-18	1.12E-18
1.15513	4.20E-18	1.12E-18
1.15623	4.03E-18	1.11E-18
1.15733	3.94E-18	1.11E-18
1.15843	3.73E-18	1.10E-18
1.15954	3.61E-18	1.10E-18
1.16064	3.80E-18	1.10E-18
1.16174	3.96E-18	1.09E-18
1.16284	4.06E-18	1.09E-18
1.16395	4.32E-18	1.08E-18
1.16505	4.34E-18	1.08E-18
1.16615	4.46E-18	1.07E-18
1.16725	4.65E-18	1.07E-18
1.16836	4.78E-18	1.06E-18
1.16946	5.04E-18	1.06E-18
1.17056	5.15E-18	1.05E-18
1.17166	5.55E-18	1.05E-18
1.17277	5.71E-18	1.04E-18
1.17387	5.91E-18	1.03E-18
1.17497	6.35E-18	1.03E-18
1.17607	6.61E-18	1.02E-18
1.17718	6.93E-18	1.02E-18
1.17828	7.43E-18	1.01E-18
1.17938	7.80E-18	1.01E-18
1.18049	8.12E-18	1.02E-18
1.18159	8.71E-18	1.02E-18
1.18269	9.36E-18	1.02E-18
1.18379	9.95E-18	1.02E-18
1.1849	1.06E-17	1.02E-18
1.186	1.15E-17	1.02E-18
1.1871	1.23E-17	1.01E-18
1.1882	1.30E-17	1.02E-18
1.18931	1.36E-17	1.02E-18
1.19041	1.43E-17	1.02E-18
1.19151	1.51E-17	1.02E-18
1.19261	1.60E-17	1.03E-18
1.19372	1.72E-17	1.04E-18
1.19482	1.82E-17	1.04E-18
1.19592	1.91E-17	1.05E-18
1.19702	2.03E-17	1.05E-18
1.19813	2.15E-17	1.06E-18
1.19923	2.27E-17	1.07E-18
1.20033	2.40E-17	1.08E-18
1.20143	2.53E-17	1.09E-18
1.20254	2.65E-17	1.10E-18
1.20364	2.77E-17	1.11E-18
1.20474	2.88E-17	1.12E-18
1.20584	3.01E-17	1.13E-18
1.20695	3.17E-17	1.14E-18
1.20805	3.32E-17	1.16E-18
1.20915	3.45E-17	1.17E-18
1.21025	3.59E-17	1.19E-18
1.21136	3.76E-17	1.21E-18
1.21246	3.91E-17	1.22E-18
1.21356	4.06E-17	1.24E-18
1.21466	4.21E-17	1.26E-18
1.21577	4.38E-17	1.28E-18
1.21687	4.59E-17	1.30E-18
1.21797	4.77E-17	1.32E-18
1.21907	4.94E-17	1.35E-18
1.22018	5.14E-17	1.37E-18
1.22128	5.33E-17	1.39E-18
1.22238	5.49E-17	1.41E-18
1.22348	5.65E-17	1.43E-18
1.22459	5.83E-17	1.45E-18
1.22569	6.03E-17	1.49E-18
1.22679	6.24E-17	1.52E-18
1.22789	6.43E-17	1.55E-18
1.229	6.64E-17	1.58E-18
1.2301	6.86E-17	1.61E-18
1.2312	7.05E-17	1.64E-18
1.2323	7.25E-17	1.67E-18
1.23341	7.45E-17	1.70E-18
1.23451	7.65E-17	1.73E-18
1.23561	7.84E-17	1.76E-18
1.23671	8.03E-17	1.79E-18
1.23782	8.22E-17	1.82E-18
1.23892	8.42E-17	1.85E-18
1.24002	8.61E-17	1.88E-18
1.24112	8.81E-17	1.91E-18
1.24223	9.02E-17	1.95E-18
1.24333	9.22E-17	1.98E-18
1.24443	9.44E-17	2.01E-18
1.24553	9.65E-17	2.05E-18
1.24664	9.85E-17	2.08E-18
1.24774	1.01E-16	2.11E-18
1.24884	1.02E-16	2.14E-18
1.24994	1.04E-16	2.16E-18
1.25105	1.05E-16	2.19E-18
1.25215	1.07E-16	2.21E-18
1.25325	1.09E-16	2.24E-18
1.25436	1.11E-16	2.27E-18
1.25546	1.12E-16	2.30E-18
1.25656	1.14E-16	2.33E-18
1.25766	1.16E-16	2.36E-18
1.25877	1.18E-16	2.39E-18
1.25987	1.19E-16	2.42E-18
1.26097	1.21E-16	2.45E-18
